id,subject,hours,planId,type,parentId,stringNumber,blockId,departmentId,code,hoursSelfWork
2085201,Высокочастотная силовая электроника,144,6608,subject,"2,085,184",33,74164,37,Б1.В.ДВ.09.02,57
2085202,Перспективная силовая электроника,144,6608,subject,"2,085,184",34,74164,25,Б1.В.ДВ.09.03,57
2085190,Современные методы теории управления,252,6608,subject,,35,74163,25,Б1.О.01,131
2085179,Проектирование оптимальных систем управления,180,6608,subject,,36,74163,12,Б1.О.02,109
2085183,Нелинейное и адаптивное управление в технических системах,216,6608,subject,,37,74163,25,Б1.О.03,95
2085197,Дисциплины по выбору студента 1,216,6608,choice,,38,74163,,Б1.О.ДВ.01,111
2085198,Иностранный язык,216,6608,subject,"2,085,197",39,74163,9,Б1.О.ДВ.01.01,111
2085199,Русский язык как иностранный,216,6608,subject,"2,085,197",40,74163,41,Б1.О.ДВ.01.02,111
2085193,Производственная практика (преддипломная практика),756,6608,practice,,41,74167,25,Б2.В.01(Пд),754
2085191,Учебная практика (ознакомительная практика),108,6608,practice,,42,74166,25,Б2.О.01(У),107
2085192,Производственная практика (технологическая (проектно-технологическая) практика),108,6608,practice,,43,74166,25,Б2.О.02(П),106
2085200,Производственная практика (научно-исследовательская работа),108,6608,practice,,44,74166,25,Б2.О.03(П),106
2085194,"Выполнение, подготовка к процедуре  защиты и защита выпускной квалификационной работы",324,6608,stateExam,,45,74168,25,Б3.01,322
2085195,Военная подготовка (Обучение граждан по программе военной подготовки офицеров запаса на факультете военного обучения (военной кафедре)),504,6608,subject,,46,74169,99,ФТД.01,137
2085196,История науки и техники в области технических систем,108,6608,subject,,47,74169,25,ФТД.02,73
2085225,Основы развития творческого воображения,108,6608,subject,,48,74169,17,ФТД.03,73
2085227,Основы теории решения изобретательских задач,108,6608,subject,,49,74169,17,ФТД.04,73
2085228,Социальные коммуникации в профессиональной среде,72,6609,subject,,1,76223,42,Б1.В.01,54
2085230,Моделирование устройств в процессах разработки,180,6609,subject,,2,76223,23,Б1.В.02,143
2085229,Энергосбережение и качество электрической энергии в энергосистемах,180,6609,subject,,3,76223,37,Б1.В.03,155
2085250,Информационное обеспечение в электроэнергетике,180,6609,subject,,4,76223,23,Б1.В.04,148
