ID,FileName,Title,StudyYear,SpecialtyId,DepartmentId,StudyFormId,StudyLevelId,StudyPeriod
6760,12.04.04_22_709.plx,12.04.04 Биотехнические системы и технологии,2023-2024,301,31,1,3,2
6770,12.04.04_23_200.plx,12.04.04 Биотехнические системы и технологии,2023-2024,301,3,1,3,2
6747,12.04.04_23_651.plx,12.04.04 Биотехнические системы и технологии,2023-2024,1763,3,2,3,2
6771,12.04.04_23_700.plx,"12.04.04 Биотехнические системы и технологии
(Biotechnical Systems and Technologies)",2023-2024,301,3,1,3,2
6772,12.04.04_23_702.plx,12.04.04 Биотехнические системы и технологии,2023-2024,301,3,1,3,2
6773,12.04.04_23_703.plx,12.04.04 Биотехнические системы и технологии,2023-2024,301,3,1,3,2
6774,12.04.04_23_704.plx,12.04.04 Биотехнические системы и технологии,2023-2024,301,3,1,3,2
6775,12.04.04_23_709.plx,12.04.04 Биотехнические системы и технологии,2023-2024,301,31,1,3,2
6615,13.03.02_19_942.plx,13.03.02 Электроэнергетика и электротехника,2023-2024,1755,23,3,2,5
6559,13.03.02_20_341.plx,13.03.02 Электроэнергетика и электротехника,2023-2024,410,37,1,2,4
6560,13.03.02_20_342.plx,13.03.02 Электроэнергетика и электротехника,2023-2024,410,23,1,2,4
6561,13.03.02_20_343.plx,13.03.02 Электроэнергетика и электротехника,2023-2024,410,25,1,2,4
6562,13.03.02_20_346.plx,13.03.02 Электроэнергетика и электротехника,2023-2024,410,23,1,2,4
6616,13.03.02_20_942.plx,13.03.02 Электроэнергетика и электротехника,2023-2024,1755,23,3,2,5
6563,13.03.02_21_341.plx,13.03.02 Электроэнергетика и электротехника,2023-2024,410,37,1,2,4
6564,13.03.02_21_342.plx,13.03.02 Электроэнергетика и электротехника,2023-2024,410,23,1,2,4
6565,13.03.02_21_343.plx,13.03.02 Электроэнергетика и электротехника,2023-2024,410,25,1,2,4
6566,13.03.02_21_346.plx,13.03.02 Электроэнергетика и электротехника,2023-2024,410,23,1,2,4
6617,13.03.02_21_942.plx,13.03.02 Электроэнергетика и электротехника,2023-2024,1755,23,3,2,5
6575,13.03.02_22_341.plx,13.03.02 Электроэнергетика и электротехника,2023-2024,410,37,1,2,4
6576,13.03.02_22_342.plx,13.03.02 Электроэнергетика и электротехника,2023-2024,410,23,1,2,4
6577,13.03.02_22_343.plx,13.03.02 Электроэнергетика и электротехника,2023-2024,410,25,1,2,4
6578,13.03.02_22_346.plx,13.03.02 Электроэнергетика и электротехника,2023-2024,410,23,1,2,4
6618,13.03.02_22_942.plx,13.03.02 Электроэнергетика и электротехника,2023-2024,1755,23,3,2,5
6890,13.03.02_23_141.plx,13.03.02 Электроэнергетика и электротехника,2023-2024,410,37,1,2,4
6878,13.03.02_23_340.plx,13.03.02 Электроэнергетика и электротехника,2023-2024,410,37,1,2,4
6583,13.03.02_23_341.plx,13.03.02 Электроэнергетика и электротехника,2023-2024,410,37,1,2,4
6584,13.03.02_23_342.plx,13.03.02 Электроэнергетика и электротехника,2023-2024,410,23,1,2,4
6585,13.03.02_23_343.plx,13.03.02 Электроэнергетика и электротехника,2023-2024,410,25,1,2,4
6586,13.03.02_23_346.plx,13.03.02 Электроэнергетика и электротехника,2023-2024,410,23,1,2,4
6609,13.04.02_21_641.plx,13.04.02 Электроэнергетика и электротехника,2023-2024,1757,23,2,3,2
6610,13.04.02_21_649.plx,13.04.02 Электроэнергетика и электротехника,2023-2024,1757,29,2,3,2
6613,13.04.02_22_641.plx,13.04.02 Электроэнергетика и электротехника,2023-2024,1757,23,2,3,2
6614,13.04.02_22_649.plx,13.04.02 Электроэнергетика и электротехника,2023-2024,1757,29,2,3,2
6591,13.04.02_22_740.plx,"13.04.02 Электроэнергетика и электротехника 
(Electric Power and Electrical Engineering)",2023-2024,403,37,1,3,2
6592,13.04.02_22_741.plx,13.04.02 Электроэнергетика и электротехника,2023-2024,403,37,1,3,2
6593,13.04.02_22_744.plx,13.04.02 Электроэнергетика и электротехника,2023-2024,403,23,1,3,2
6594,13.04.02_22_748.plx,13.04.02 Электроэнергетика и электротехника,2023-2024,403,25,1,3,2
6595,13.04.02_22_749.plx,13.04.02 Электроэнергетика и электротехника,2023-2024,403,29,1,3,2
6611,13.04.02_23_641.plx,13.04.02 Электроэнергетика и электротехника,2023-2024,1757,23,2,3,2
6612,13.04.02_23_649.plx,13.04.02 Электроэнергетика и электротехника,2023-2024,1757,29,2,3,2
6600,13.04.02_23_740.plx,"13.04.02 Электроэнергетика и электротехника 
(Electric Power and Electrical Engineering)",2023-2024,403,37,1,3,2
6601,13.04.02_23_741.plx,13.04.02 Электроэнергетика и электротехника,2023-2024,403,37,1,3,2
6602,13.04.02_23_744.plx,13.04.02 Электроэнергетика и электротехника,2023-2024,403,23,1,3,2
6603,13.04.02_23_748.plx,13.04.02 Электроэнергетика и электротехника,2023-2024,403,25,1,3,2
6604,13.04.02_23_749.plx,13.04.02 Электроэнергетика и электротехника,2023-2024,403,29,1,3,2
6567,15.03.06_20_397.plx,15.03.06 Мехатроника и робототехника,2023-2024,1768,25,1,2,4
6850,15.03.06_20_398.plx,15.03.06 Мехатроника и робототехника,2023-2024,1768,25,1,2,4
6568,15.03.06_21_397.plx,15.03.06 Мехатроника и робототехника,2023-2024,1768,25,1,2,4
6579,15.03.06_22_397.plx,15.03.06 Мехатроника и робототехника,2023-2024,1768,25,1,2,4
